Kingston HyperX Fury DDR3 (2x4), 67, 10, DDR3, 8
Kingston HyperX Fury DDR4 (2x4), 63, 10, DDR4, 8
Corsair Dominator Platinum DDR4 (4x8), 318, 10, DDR4, 32
Corsair Vengeance Pro DDR3 (2x8), 125, 10, DDR3, 16
Ballistix Sport LT DDR4 (2x8), 133, 10, DDR4, 16
Corsair DDR4 4GB, 35, 10, DDR4, 4
Kingston HyperX Fury DDR4 (2x8), 142, 10, DDR4, 16
