NO, 0, 0, 0
ASUS GTX 1050 2GB, 130, 85, 2
Gigabyte GTX 1060 6GB, 290, 135, 6
Gibabyte GTX 1070 8GB, 530, 190, 8
Gibabyte GTX 1080 8GB, 655, 120, 8
Palit Titan Z 12GB, 1170, 490, 12
MSI GTX950 2GB, 139, 130, 2
KFA2 GTX1080 8GB, 730, 180, 8
Gibabyte Aorus GTX 1080ti 11GB, 896, 230, 11
Gigabyte GTX 980ti, 373, 258, 6
